kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,LEUWISADENG,SADENG,DESA,PEREMPUAN,3303,2019
KABUPATEN BOGOR,LEUWISADENG,KALONG II,DESA,LAKI-LAKI,5985,2019
KABUPATEN BOGOR,LEUWISADENG,KALONG II,DESA,PEREMPUAN,5251,2019
KABUPATEN BOGOR,LEUWISADENG,KALONG I,DESA,LAKI-LAKI,5241,2019
KABUPATEN BOGOR,LEUWISADENG,KALONG I,DESA,PEREMPUAN,4937,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBUNIAN,DESA,LAKI-LAKI,2655,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBUNIAN,DESA,PEREMPUAN,2614,2019
KABUPATEN BOGOR,PAMIJAHAN,PURWABAKTI,DESA,LAKI-LAKI,1878,2019
KABUPATEN BOGOR,PAMIJAHAN,PURWABAKTI,DESA,PEREMPUAN,1826,2019
KABUPATEN BOGOR,PAMIJAHAN,CIASMARA,DESA,LAKI-LAKI,5838,2019
KABUPATEN BOGOR,PAMIJAHAN,CIASMARA,DESA,PEREMPUAN,5282,2019
KABUPATEN BOGOR,PAMIJAHAN,CIASIHAN,DESA,LAKI-LAKI,5864,2019
KABUPATEN BOGOR,PAMIJAHAN,CIASIHAN,DESA,PEREMPUAN,5314,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG SARI,DESA,LAKI-LAKI,2921,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG SARI,DESA,PEREMPUAN,2880,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG BUNDER 2,DESA,LAKI-LAKI,2927,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG BUNDER 2,DESA,PEREMPUAN,2869,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG BUNDER 1,DESA,LAKI-LAKI,1758,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG BUNDER 1,DESA,PEREMPUAN,1731,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBENING,DESA,LAKI-LAKI,3728,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBENING,DESA,PEREMPUAN,3351,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG PICUNG,DESA,LAKI-LAKI,1703,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG PICUNG,DESA,PEREMPUAN,1638,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBITUNG KULON,DESA,LAKI-LAKI,4161,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBITUNG KULON,DESA,PEREMPUAN,4060,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBITUNG WETAN,DESA,LAKI-LAKI,2827,2019
KABUPATEN BOGOR,PAMIJAHAN,CIBITUNG WETAN,DESA,PEREMPUAN,2837,2019
KABUPATEN BOGOR,PAMIJAHAN,PAMIJAHAN,DESA,LAKI-LAKI,1563,2019
KABUPATEN BOGOR,PAMIJAHAN,PAMIJAHAN,DESA,PEREMPUAN,1471,2019
KABUPATEN BOGOR,PAMIJAHAN,PASAREAN,DESA,LAKI-LAKI,2959,2019
KABUPATEN BOGOR,PAMIJAHAN,PASAREAN,DESA,PEREMPUAN,2925,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG MENYAN,DESA,LAKI-LAKI,2207,2019
KABUPATEN BOGOR,PAMIJAHAN,GUNUNG MENYAN,DESA,PEREMPUAN,2213,2019
KABUPATEN BOGOR,PAMIJAHAN,CIMAYANG,DESA,LAKI-LAKI,1843,2019
KABUPATEN BOGOR,PAMIJAHAN,CIMAYANG,DESA,PEREMPUAN,1751,2019
KABUPATEN BOGOR,CIBUNGBULANG,SITU UDIK,DESA,LAKI-LAKI,4294,2019
KABUPATEN BOGOR,CIBUNGBULANG,SITU UDIK,DESA,PEREMPUAN,3996,2019
KABUPATEN BOGOR,CIBUNGBULANG,SITU ILIR,DESA,LAKI-LAKI,6933,2019
KABUPATEN BOGOR,CIBUNGBULANG,SITU ILIR,DESA,PEREMPUAN,6245,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIBATOK 2,DESA,LAKI-LAKI,4514,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIBATOK 2,DESA,PEREMPUAN,4136,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIARUTEN UDIK,DESA,LAKI-LAKI,4221,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIARUTEN UDIK,DESA,PEREMPUAN,4022,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIBATOK 1,DESA,LAKI-LAKI,3940,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIBATOK 1,DESA,PEREMPUAN,3641,2019
KABUPATEN BOGOR,CIBUNGBULANG,SUKAMAJU,DESA,LAKI-LAKI,5955,2019
KABUPATEN BOGOR,CIBUNGBULANG,SUKAMAJU,DESA,PEREMPUAN,5666,2019
KABUPATEN BOGOR,CIBUNGBULANG,CEMPLANG,DESA,LAKI-LAKI,5841,2019
KABUPATEN BOGOR,CIBUNGBULANG,CEMPLANG,DESA,PEREMPUAN,5359,2019
KABUPATEN BOGOR,CIBUNGBULANG,GALUGA,DESA,LAKI-LAKI,4702,2019
KABUPATEN BOGOR,CIBUNGBULANG,GALUGA,DESA,PEREMPUAN,4465,2019
KABUPATEN BOGOR,CIBUNGBULANG,DUKUH,DESA,LAKI-LAKI,2944,2019
KABUPATEN BOGOR,CIBUNGBULANG,DUKUH,DESA,PEREMPUAN,2772,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIMANGGU 2,DESA,LAKI-LAKI,3446,2019
