id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pemerintahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020001,PURASARI,32.01.14,LEUWILIANG,32.01.14.2002,PURASARI,DESA,PEREMPUAN,2514,JIWA,2019
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020002,PURASEDA,32.01.14,LEUWILIANG,32.01.14.2008,PURASEDA,DESA,LAKI-LAKI,2780,JIWA,2019
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020002,PURASEDA,32.01.14,LEUWILIANG,32.01.14.2008,PURASEDA,DESA,PEREMPUAN,2759,JIWA,2019
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020003,KARYASARI,32.01.14,LEUWILIANG,32.01.14.2003,KARYASARI,DESA,LAKI-LAKI,2893,JIWA,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020003,KARYASARI,32.01.14,LEUWILIANG,32.01.14.2003,KARYASARI,DESA,PEREMPUAN,2592,JIWA,2019
29,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020004,PABANGBON,32.01.14,LEUWILIANG,32.01.14.2004,PABANGBON,DESA,LAKI-LAKI,3244,JIWA,2019
30,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020004,PABANGBON,32.01.14,LEUWILIANG,32.01.14.2004,PABANGBON,DESA,PEREMPUAN,3149,JIWA,2019
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020005,KARACAK,32.01.14,LEUWILIANG,32.01.14.2005,KARACAK,DESA,LAKI-LAKI,6708,JIWA,2019
32,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020005,KARACAK,32.01.14,LEUWILIANG,32.01.14.2005,KARACAK,DESA,PEREMPUAN,6385,JIWA,2019
33,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020006,BARENGKOK,32.01.14,LEUWILIANG,32.01.14.2006,BARENGKOK,DESA,LAKI-LAKI,5608,JIWA,2019
34,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020006,BARENGKOK,32.01.14,LEUWILIANG,32.01.14.2006,BARENGKOK,DESA,PEREMPUAN,5441,JIWA,2019
35,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020007,CIBEBER II,32.01.14,LEUWILIANG,32.01.14.2010,CIBEBER II,DESA,LAKI-LAKI,4196,JIWA,2019
36,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020007,CIBEBER II,32.01.14,LEUWILIANG,32.01.14.2010,CIBEBER II,DESA,PEREMPUAN,3886,JIWA,2019
37,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020016,CIBEBER I,32.01.14,LEUWILIANG,32.01.14.2009,CIBEBER I,DESA,LAKI-LAKI,6020,JIWA,2019
38,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020016,CIBEBER I,32.01.14,LEUWILIANG,32.01.14.2009,CIBEBER I,DESA,PEREMPUAN,5557,JIWA,2019
